Customer_ID,Gender,Age,Under_30,Senior_Citizen,Married,Dependents,Number_of_Dependents,Country,State,City,Zip_Code,Latitude,Longitude,Population,Quarter,Referred_a_friend,Number_of_Referrals,Tenure_in_Months,Offer,Phone_Service,Avg_Monthly_Long_Distance_Charges,Internet_Service,Internet_Type,Avg_Monthly_GB_Download,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Tech_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Satisfaction_Score,Customer_Status,Churn_Label,Churn_Score,CLTV,Churn_Category,Churn_Reason
0017-DINOC,Male,47,No,No,No,No,0,United States,California,Rancho Santa Fe,92091,32.99356079,-117.2071228,1072,3,No,0,54,None,No,0,No,Cable,10,Yes,No,No,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,45.20000076,2460.550049,0,0,0,2460.550049,4,Stayed,No,54,5435,Others,Others
0017-IUDMW,Female,25,Yes,No,Yes,Yes,2,United States,California,Sunnyvale,94086,37.37854004,-122.0204544,64010,3,Yes,2,72,None,Yes,16.01000023,Yes,Fiber Optic,59,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,116.8000031,8456.75,0,0,1152.719971,9609.469727,3,Stayed,No,52,6252,Others,Others
0018-NYROU,Female,58,No,No,Yes,No,0,United States,California,Antelope,95843,38.71549988,-121.3634109,36432,3,No,0,5,None,Yes,18.64999962,No,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,68.94999695,351.5,0,0,93.25,444.75,3,Stayed,No,57,5536,Others,Others
0019-EFAEP,Female,32,No,No,No,No,0,United States,California,La Mesa,91942,32.78250122,-117.0161133,24005,3,No,0,72,Offer A,Yes,2.25,Yes,Fiber Optic,16,Yes,Yes,Yes,No,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,101.3000031,7261.25,0,0,162,7423.25,3,Stayed,No,53,5513,Others,Others
0019-GFNTW,Female,39,No,No,No,No,0,United States,California,Los Olivos,93441,34.70434189,-120.0260925,1317,3,No,0,56,None,No,0,No,DSL,19,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,45.04999924,2560.100098,0,0,0,2560.100098,3,Stayed,No,37,5795,Others,Others
0020-INWCK,Female,58,No,No,Yes,Yes,2,United States,California,Woodlake,93286,36.46463394,-119.0943451,8870,3,Yes,9,71,Offer A,Yes,27.26000023,Yes,Fiber Optic,12,No,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,95.75,6849.399902,0,0,1935.459961,8784.860352,5,Stayed,No,26,4865,Others,Others
0020-JDNXP,Female,52,No,No,Yes,Yes,1,United States,California,Point Reyes Station,94956,38.06026459,-122.8306427,1885,3,No,0,34,None,No,0,No,DSL,20,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,61.25,1993.199951,0,0,0,1993.199951,4,Stayed,No,37,3607,Others,Others
0022-TCJCI,Male,79,No,Yes,No,No,0,United States,California,Daly City,94015,37.68084335,-122.481308,63337,3,No,0,45,None,Yes,10.67000008,No,DSL,17,Yes,No,Yes,No,No,Yes,No,Yes,One Year,No,Credit Card,62.70000076,2791.5,0,0,480.1499939,3271.649902,1,Churned,Yes,92,2654,Dissatisfaction,Limited range of services
0023-HGHWL,Male,67,No,Yes,No,No,0,United States,California,Morgan Hill,95037,37.1615448,-121.6493683,41707,3,No,0,1,None,No,0,No,Cable,9,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.10000038,25.10000038,0,0,0,25.10000038,3,Churned,Yes,85,5437,Competitor,Competitor made better offer
0023-UYUPN,Female,79,No,Yes,Yes,No,0,United States,California,Ahwahnee,93601,37.37581635,-119.7399368,1968,3,No,0,50,None,Yes,31.43000031,Yes,None,0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,25.20000076,1306.300049,0,0,1571.5,2877.800049,3,Stayed,No,61,4015,Others,Others
0023-XUOPT,Female,26,Yes,No,Yes,No,0,United States,California,Carnelian Bay,96140,39.22743225,-120.0918045,1943,3,Yes,1,13,None,Yes,43.56000137,Yes,Fiber Optic,52,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,94.09999847,1215.599976,0,0,566.2800293,1781.880005,1,Churned,Yes,75,2973,Other,Don't know
0027-KWYKW,Female,30,No,No,Yes,Yes,2,United States,California,Alpaugh,93201,35.86962509,-119.4987717,1054,3,Yes,1,23,Offer D,Yes,34.90999985,Yes,Fiber Optic,30,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.75,1849.949951,0,0,802.9299927,2652.879883,4,Stayed,No,78,3585,Others,Others
0031-PVLZI,Female,34,No,No,Yes,No,0,United States,California,Korbel,95550,40.76660156,-123.8045807,155,3,No,0,4,Offer E,Yes,12.43000031,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.35000038,76.34999847,0,0,49.72000122,126.0699997,1,Churned,Yes,81,4133,Price,Long distance charges
0032-PGELS,Female,37,No,No,Yes,Yes,1,United States,California,Palomar Mountain,92060,33.3098526,-116.8230896,234,3,Yes,1,1,None,No,0,No,DSL,19,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,30.5,30.5,0,0,0,30.5,1,Churned,Yes,74,5171,Attitude,Attitude of service provider
0036-IHMOT,Female,37,No,No,Yes,Yes,3,United States,California,Parlier,93648,36.62223816,-119.5211258,12587,3,Yes,10,55,None,Yes,35.04000092,No,Fiber Optic,57,No,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,103.6999969,5656.75,0,20,1927.199951,7603.950195,3,Stayed,No,65,5892,Others,Others
0040-HALCW,Male,42,No,No,Yes,Yes,3,United States,California,Modesto,95358,37.61261368,-121.1085663,30668,3,Yes,3,54,None,Yes,19.70000076,No,None,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,20.39999962,1090.599976,0,0,1063.800049,2154.399902,4,Stayed,No,60,6393,Others,Others
0042-JVWOJ,Male,64,No,No,No,No,0,United States,California,Glen Ellen,95442,38.3687439,-122.522644,4101,3,No,0,26,Offer C,Yes,37.70000076,No,None,0,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,19.60000038,471.8500061,21.25,0,980.2000122,1430.800049,4,Stayed,No,26,3722,Others,Others
0042-RLHYP,Female,47,No,No,Yes,Yes,3,United States,California,Eureka,95503,40.73743057,-124.1088943,23570,3,Yes,5,69,None,Yes,38.38999939,No,None,0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,19.70000076,1396.900024,0,0,2648.909912,4045.810059,5,Stayed,No,76,4131,Others,Others
0048-LUMLS,Male,23,Yes,No,Yes,Yes,3,United States,California,Moss Beach,94038,37.51555634,-122.5023117,3064,3,Yes,1,37,Offer C,Yes,43.00999832,No,Fiber Optic,51,No,No,No,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,91.19999695,3247.550049,0,0,1591.369995,4838.919922,5,Stayed,No,55,5263,Others,Others
0048-PIHNL,Female,48,No,No,Yes,No,0,United States,California,Los Angeles,90058,34.00161743,-118.2222748,3642,3,Yes,5,49,Offer B,Yes,49.58000183,No,None,0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,20.45000076,900.9000244,0,0,2429.419922,3330.320068,3,Stayed,No,20,6061,Others,Others
0052-DCKON,Male,28,Yes,No,Yes,No,0,United States,California,Los Angeles,90063,34.04426956,-118.1852341,55668,3,Yes,9,66,None,Yes,43.77000046,Yes,Fiber Optic,41,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,115.8000031,7942.149902,0,0,2888.820068,10830.96973,3,Stayed,No,42,5845,Others,Others
0052-YNYOT,Female,28,Yes,No,No,No,0,United States,California,Calexico,92231,32.69065475,-115.4312286,27804,3,No,0,67,None,Yes,23.12000084,No,None,0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,20.54999924,1343.400024,30.53000069,0,1549.040039,2861.909912,5,Stayed,No,72,5462,Others,Others
0056-EPFBG,Male,33,No,No,Yes,Yes,1,United States,California,Redding,96003,40.67765045,-122.2946701,41476,3,Yes,4,20,None,No,0,No,Cable,22,Yes,No,Yes,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,39.40000153,825.4000244,0,0,0,825.4000244,3,Stayed,No,29,3899,Others,Others
0057-QBUQH,Female,31,No,No,No,Yes,3,United States,California,San Martin,95046,37.08469772,-121.6064148,5671,3,No,0,43,None,Yes,30.63999939,Yes,None,0,No,No,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,25.10000038,1070.150024,0,0,1317.52002,2387.669922,4,Stayed,No,59,4797,Others,Others
0058-EVZWM,Female,37,No,No,Yes,No,0,United States,California,Stockton,95209,38.04452133,-121.3480453,30814,3,Yes,2,55,Offer B,Yes,5.079999924,Yes,Fiber Optic,9,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.80000305,4959.600098,0,0,279.3999939,5239,3,Stayed,No,42,5875,Others,Others
0060-FUALY,Female,60,No,No,Yes,No,0,United States,California,Los Angeles,90003,33.9641304,-118.2727814,58198,3,Yes,4,59,Offer B,Yes,16.38999939,Yes,Fiber Optic,14,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.75,5597.649902,0,0,967.0100098,6564.660156,3,Stayed,No,26,5238,Others,Others
0064-SUDOG,Female,48,No,No,Yes,Yes,3,United States,California,Huntington Park,90255,33.97803116,-118.2171402,78114,3,Yes,3,12,None,Yes,19.28000069,No,None,0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,20.29999924,224.5,0,0,231.3600006,455.8599854,5,Stayed,No,57,5190,Others,Others
0064-YIJGF,Male,60,No,No,Yes,Yes,3,United States,California,Yermo,92398,35.01329803,-116.8340912,1195,3,Yes,7,27,Offer C,Yes,25.26000023,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.75,1929,0,0,682.0200195,2611.02002,3,Stayed,No,46,4994,Others,Others
0067-DKWBL,Male,69,No,Yes,No,No,0,United States,California,San Diego,92129,32.96106339,-117.1349182,47224,3,No,0,2,None,Yes,43.99000168,No,DSL,27,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,91.09999847,0,0,87.98000336,179.0800018,2,Churned,Yes,95,3475,Competitor,Competitor made better offer
0068-FIGTF,Female,20,Yes,No,No,No,0,United States,California,Fremont,94539,37.5167923,-121.8991165,46917,3,No,0,27,Offer C,Yes,48.90999985,No,DSL,59,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,78.19999695,2078.949951,0,0,1320.569946,3399.52002,3,Stayed,No,54,2297,Others,Others
0071-NDAFP,Male,31,No,No,Yes,Yes,3,United States,California,Santa Rosa,95405,38.43969727,-122.6688156,22250,3,Yes,1,25,None,Yes,23.69000053,Yes,None,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,25.5,630.5999756,44.41999817,0,592.25,1178.430054,3,Stayed,No,65,5230,Others,Others
0074-HDKDG,Male,46,No,No,Yes,No,0,United States,California,San Jose,95126,37.32706833,-121.9168167,27023,3,Yes,5,25,None,Yes,6.449999809,No,Cable,19,Yes,Yes,Yes,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,61.59999847,1611,44.90000153,0,161.25,1727.349976,3,Stayed,No,66,3807,Others,Others
0076-LVEPS,Male,57,No,No,No,Yes,1,United States,California,Tujunga,91042,34.29657364,-118.2448425,26753,3,No,0,29,None,No,0,No,DSL,21,Yes,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,45,1242.449951,12.26000023,0,0,1230.189941,4,Stayed,No,73,3290,Others,Others
0078-XZMHT,Male,19,Yes,No,Yes,No,0,United States,California,Visalia,93291,36.39177704,-119.3728409,36718,3,Yes,5,72,None,Yes,32.36000061,Yes,DSL,52,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,85.15000153,6316.200195,0,0,2329.919922,8646.120117,3,Stayed,No,76,6322,Others,Others
0080-EMYVY,Female,64,No,No,No,No,0,United States,California,Lodi,95240,38.12354279,-121.1590805,45755,3,No,0,14,None,Yes,24.04000092,No,Cable,12,No,Yes,No,No,No,No,No,Yes,One Year,No,Credit Card,51.45000076,727.8499756,0,0,336.5599976,1064.410034,3,Stayed,No,57,4298,Others,Others
0080-OROZO,Female,38,No,No,No,No,0,United States,California,El Portal,95318,37.65455246,-119.8229828,579,3,No,0,35,Offer C,Yes,36.41999817,No,Fiber Optic,2,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,99.25,3532,0,0,1274.699951,4806.700195,3,Stayed,No,36,3244,Others,Others
0082-OQIQY,Male,50,No,No,No,No,0,United States,California,Farmington,95230,37.95696259,-120.8630524,596,3,No,0,29,None,Yes,2.049999952,No,Fiber Optic,17,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,94.19999695,2607.600098,0,20,59.45000076,2687.050049,5,Stayed,No,60,4561,Others,Others
0083-PIVIK,Male,25,Yes,No,No,No,0,United States,California,Tulelake,96134,41.81352234,-121.4926682,2595,3,No,0,64,None,Yes,5.489999771,Yes,DSL,69,Yes,Yes,Yes,Yes,Yes,No,No,No,One Year,No,Bank Withdrawal,81.25,5567.549805,0,40,351.3599854,5958.910156,3,Stayed,No,67,4761,Others,Others
0089-IIQKO,Female,35,No,No,Yes,Yes,3,United States,California,Coleville,96107,38.42528152,-119.4757385,1332,3,Yes,1,39,None,Yes,24.37999916,Yes,Fiber Optic,53,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,99.94999695,3767.399902,0,0,950.8200073,4718.220215,3,Stayed,No,43,4447,Others,Others
0093-EXYQL,Female,72,No,Yes,No,No,0,United States,California,Ojai,93023,34.58130646,-118.9319458,21633,3,No,0,40,None,Yes,44.13999939,No,Fiber Optic,23,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,91.55000305,3673.600098,0,0,1765.599976,5439.200195,3,Stayed,No,59,5742,Others,Others
0093-XWZFY,Male,51,No,No,No,No,0,United States,California,Desert Hot Springs,92241,33.832798,-116.2509766,5529,3,No,0,40,None,Yes,37.68999863,Yes,Fiber Optic,15,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,104.5,4036.850098,0,0,1507.599976,5544.450195,1,Churned,Yes,93,2832,Competitor,Competitor had better devices
0094-OIFMO,Female,78,No,Yes,No,Yes,1,United States,California,North Hollywood,91605,34.20729446,-118.4000244,57146,3,No,0,11,Offer D,Yes,11.59000015,No,Fiber Optic,29,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95,1120.300049,0,120,127.4899979,1367.790039,1,Churned,Yes,85,5980,Dissatisfaction,Product dissatisfaction
0096-BXERS,Female,30,No,No,Yes,No,0,United States,California,Inverness,94937,38.09932327,-122.9457245,1004,3,Yes,10,6,Offer E,Yes,42.65999985,Yes,Cable,85,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,50.34999847,314.5499878,0,0,255.9600067,570.5100098,3,Stayed,No,74,3442,Others,Others
0096-FCPUF,Male,58,No,No,No,No,0,United States,California,Santa Rosa,95404,38.52693939,-122.7090988,35057,3,No,0,30,None,Yes,2.640000105,Yes,DSL,15,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,64.5,1888.449951,0,0,79.19999695,1967.650024,3,Stayed,No,48,5039,Others,Others
0098-BOWSO,Male,26,Yes,No,No,No,0,United States,California,San Jose,95131,37.38702774,-121.8977737,26389,3,No,0,27,None,Yes,20.65999985,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,19.39999962,529.7999878,0,0,557.8200073,1087.619995,5,Stayed,No,39,3792,Others,Others
0100-DUVFC,Male,66,No,Yes,Yes,No,0,United States,California,Wilmington,90744,33.78206635,-118.2622604,53323,3,Yes,3,70,None,Yes,39.49000168,Yes,Fiber Optic,28,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.8000031,7308.950195,6.110000134,0,2764.300049,10067.13965,5,Stayed,No,57,5291,Others,Others
0103-CSITQ,Female,20,Yes,No,Yes,No,0,United States,California,Modesto,95357,37.6705246,-120.8775711,13343,3,Yes,10,57,Offer B,Yes,8.010000229,Yes,Fiber Optic,73,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,109.4000015,6252.700195,0,0,456.5700073,6709.27002,5,Stayed,No,65,6026,Others,Others
0104-PPXDV,Male,61,No,No,Yes,No,0,United States,California,San Diego,92113,32.69709778,-117.1165848,47431,3,Yes,10,58,None,Yes,18.37000084,No,DSL,18,No,No,Yes,No,No,No,No,Yes,One Year,No,Credit Card,50.29999924,2878.550049,10.22999954,0,1065.459961,3933.780029,5,Stayed,No,30,5232,Others,Others
0106-GHRQR,Male,24,Yes,No,No,No,0,United States,California,Rancho Palos Verdes,90275,33.75314713,-118.3674622,41263,3,No,0,16,None,Yes,25.70999908,Yes,DSL,48,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,71.40000153,1212.099976,0,0,411.3599854,1623.459961,5,Stayed,No,39,3360,Others,Others
0106-UGRDO,Female,55,No,No,Yes,No,0,United States,California,Kenwood,95452,38.41952515,-122.5215836,1653,3,Yes,3,69,Offer A,Yes,38.52000046,Yes,Fiber Optic,27,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,116,8182.850098,0,0,2657.879883,10840.73047,3,Stayed,No,37,4216,Others,Others
0107-WESLM,Male,32,No,No,No,No,0,United States,California,West Point,95255,38.41934967,-120.4695435,2198,3,No,0,1,Offer E,Yes,31.77000046,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,19.85000038,19.85000038,0,0,31.77000046,51.61999893,2,Churned,Yes,66,3874,Attitude,Attitude of support person
0107-YHINA,Male,59,No,No,No,No,0,United States,California,Los Angeles,90062,34.00355148,-118.3089294,29299,3,No,0,1,None,Yes,40.70999908,Yes,Fiber Optic,25,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.75,99.75,0,0,40.70999908,140.4600067,1,Churned,Yes,93,4214,Competitor,Competitor had better devices
0111-KLBQG,Male,71,No,Yes,Yes,Yes,1,United States,California,Morongo Valley,92256,34.09786224,-116.5945587,3499,3,Yes,9,32,Offer C,Yes,31.86000061,No,Fiber Optic,23,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Mailed Check,93.94999695,2861.449951,0,0,1019.52002,3880.969971,5,Stayed,No,62,2844,Others,Others
0112-QAWRZ,Male,49,No,No,Yes,Yes,2,United States,California,Palo Verde,92266,33.32490158,-114.7583313,291,3,Yes,8,16,Offer D,Yes,48.70999908,Yes,Fiber Optic,12,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,90.80000305,1442.199951,0,0,779.3599854,2221.560059,3,Stayed,No,66,5560,Others,Others
0112-QWPNC,Male,61,No,No,Yes,No,0,United States,California,Valyermo,93563,34.39582825,-117.7345657,413,3,Yes,1,49,Offer B,Yes,39.54999924,Yes,Cable,10,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,84.34999847,4059.350098,0,0,1937.949951,5997.299805,2,Churned,Yes,73,6452,Competitor,Competitor offered higher download speeds
0114-IGABW,Female,40,No,No,Yes,No,0,United States,California,Cambria,93428,35.5913887,-121.0322571,6526,3,Yes,2,71,Offer A,No,0,No,Cable,29,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,58.25,4145.899902,0,0,0,4145.899902,5,Stayed,No,76,5224,Others,Others
0114-PEGZZ,Female,39,No,No,No,No,0,United States,California,Round Mountain,96084,40.92355728,-122.0599365,459,3,No,0,33,None,Yes,49.68999863,Yes,Fiber Optic,12,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,107.5500031,3645.5,0,0,1639.77002,5285.27002,3,Stayed,No,33,4800,Others,Others
0114-RSRRW,Female,21,Yes,No,Yes,No,0,United States,California,Klamath,95548,41.57281113,-124.0350113,1215,3,Yes,9,10,Offer D,Yes,49.59999847,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,19.95000076,187.75,0,0,496,683.75,4,Stayed,No,54,3831,Others,Others
0115-TFERT,Male,24,Yes,No,Yes,No,0,United States,California,Fresno,93650,36.84165573,-119.7971115,3258,3,Yes,1,21,None,Yes,36.25999832,Yes,Fiber Optic,59,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,111.1999969,2317.100098,0,120,761.460022,3198.560059,3,Churned,Yes,89,4123,Attitude,Attitude of service provider
0117-LFRMW,Male,52,No,No,Yes,Yes,1,United States,California,Angwin,94508,38.54244614,-122.4199219,3641,3,Yes,1,37,None,No,0,No,DSL,23,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.20000076,1448.800049,0,0,0,1448.800049,2,Churned,Yes,80,3627,Competitor,Competitor offered more data
0118-JPNOY,Female,71,No,Yes,No,No,0,United States,California,Le Grand,95333,37.2493782,-120.2495804,3256,3,No,0,26,None,Yes,33.74000168,No,Fiber Optic,7,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,85.80000305,2193.649902,0,0,877.2399902,3070.889893,3,Stayed,No,46,5700,Others,Others
0121-SNYRK,Male,45,No,No,No,No,0,United States,California,Redway,95560,40.14225769,-123.8529282,1851,3,No,0,50,Offer B,No,0,No,DSL,7,Yes,No,No,Yes,No,No,No,Yes,One Year,Yes,Credit Card,35.40000153,1748.900024,0,0,0,1748.900024,3,Stayed,No,36,5052,Others,Others
0122-OAHPZ,Female,29,Yes,No,No,No,0,United States,California,San Diego,92122,32.85723114,-117.2097702,34902,3,No,0,7,None,Yes,28.62000084,Yes,Fiber Optic,26,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,73.84999847,511.25,13.02999973,0,200.3399963,698.5599976,3,Churned,Yes,67,2473,Competitor,Competitor made better offer
0123-CRBRT,Female,62,No,No,Yes,No,0,United States,California,Monterey Park,91755,34.04917145,-118.1150208,26933,3,Yes,1,61,Offer B,Yes,47.18999863,Yes,DSL,28,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Mailed Check,88.09999847,5526.75,0,0,2878.590088,8405.339844,4,Stayed,No,40,5152,Others,Others
